,Parameter,Difference
0,Drift Rate,0.15557634448503807
1,Drift Rate,0.13495557579882267
2,Drift Rate,-0.0368692812773344
3,Drift Rate,0.022893796565307295
4,Drift Rate,0.03510811794488039
5,Drift Rate,0.0750068793076544
6,Drift Rate,-0.03013977669551479
7,Drift Rate,-0.020041653840491502
8,Drift Rate,-0.0362643083556772
9,Drift Rate,-0.1403307072340464
10,Drift Rate,0.4234115414352845
11,Drift Rate,-0.0804416530918732
12,Drift Rate,-0.04567419896773128
13,Drift Rate,0.020864743069428204
14,Drift Rate,-0.0951900341365405
15,Drift Rate,-0.1066172340307755
16,Drift Rate,0.016432727735378794
17,Drift Rate,0.09069369939464927
18,Drift Rate,0.10106887468376541
19,Drift Rate,-0.027863660823836317
20,Drift Rate,0.07393705373828871
21,Drift Rate,-0.0344314469513942
22,Drift Rate,0.09504693912980491
23,Drift Rate,0.02043784849754779
24,Drift Rate,0.29766413179253043
25,Drift Rate,0.020261425406739586
26,Drift Rate,-0.021648741705480506
27,Drift Rate,0.013752876150134902
28,Drift Rate,0.06643958991520381
29,Drift Rate,-0.032409885121628984
30,Drift Rate,-0.22018467084227378
31,Drift Rate,0.0521449717563805
32,Drift Rate,-0.4513399994040915
33,Drift Rate,-0.0742598933175487
34,Drift Rate,-0.08494097675228832
35,Drift Rate,0.17755537610820898
36,Drift Rate,-0.0014745632818078946
37,Drift Rate,0.1768401550956433
38,Boundary Separation,-7.844148703593343
39,Boundary Separation,-2.2741882238595874
40,Boundary Separation,-0.6925422706011486
41,Boundary Separation,-2.453242397151554
42,Boundary Separation,-0.680406812396678
43,Boundary Separation,-5.801803702420355
44,Boundary Separation,-0.9979817689680268
45,Boundary Separation,-2.2507036903265245
46,Boundary Separation,0.46213766071598616
47,Boundary Separation,0.02194417188398834
48,Boundary Separation,1.4287261368543138
49,Boundary Separation,-8.674135817475193
50,Boundary Separation,0.5976770442213319
51,Boundary Separation,1.7205532393284377
52,Boundary Separation,-3.046598993237315
53,Boundary Separation,-4.85204740149245
54,Boundary Separation,-3.765729105581901
55,Boundary Separation,-0.3336548764610989
56,Boundary Separation,-1.5476021013889065
57,Boundary Separation,-5.557908344386157
58,Boundary Separation,-2.318237846554636
59,Boundary Separation,-1.9717997645330838
60,Boundary Separation,-1.230803461848471
61,Boundary Separation,1.0392314252120824
62,Boundary Separation,0.07183533634760986
63,Boundary Separation,0.5398117546358979
64,Boundary Separation,-1.3603777765449765
65,Boundary Separation,-9.030486749555617
66,Boundary Separation,-1.8634230802595582
67,Boundary Separation,-1.849862408586496
68,Boundary Separation,-3.556497361902422
69,Boundary Separation,-0.7352000782560215
70,Boundary Separation,-1.4847085110431555
71,Boundary Separation,-3.24285484603878
72,Boundary Separation,-3.427881187072372
73,Boundary Separation,-1.6861070534207143
74,Boundary Separation,-3.1995975371602325
75,Boundary Separation,-0.5028522589842894
76,Non-decision Time,-0.3821627009693852
77,Non-decision Time,-0.006525029560527099
78,Non-decision Time,-0.2293320417636176
79,Non-decision Time,-0.0430132960581789
80,Non-decision Time,-0.16211134013586936
81,Non-decision Time,-0.5041791716905764
82,Non-decision Time,-0.4757088957805914
83,Non-decision Time,0.4526138012173676
84,Non-decision Time,-0.011750836039124107
85,Non-decision Time,0.0006924529109586935
86,Non-decision Time,-0.4574306269240328
87,Non-decision Time,-0.5556553307207962
88,Non-decision Time,-0.2627599010396926
89,Non-decision Time,-0.751475370121961
90,Non-decision Time,-0.1338743778248166
91,Non-decision Time,0.08594240338013019
92,Non-decision Time,-0.0897378815147511
93,Non-decision Time,-0.0066990364892336035
94,Non-decision Time,0.5182499312014891
95,Non-decision Time,-0.8730479036405763
96,Non-decision Time,-0.17817456219984348
97,Non-decision Time,0.10909985559155569
98,Non-decision Time,-0.23265108572560678
99,Non-decision Time,-0.0189260273078678
100,Non-decision Time,0.014373285806661584
101,Non-decision Time,0.21058112946538599
102,Non-decision Time,-0.8218291831343552
103,Non-decision Time,-0.5667734515068661
104,Non-decision Time,-0.18360948526221038
105,Non-decision Time,-0.19524778127422515
106,Non-decision Time,-0.009991688483168393
107,Non-decision Time,-0.18766217627864007
108,Non-decision Time,-0.3182804102531715
109,Non-decision Time,-0.25654648053381957
110,Non-decision Time,0.1527164252570683
111,Non-decision Time,0.2576587225531026
112,Non-decision Time,-0.2462452174764168
113,Non-decision Time,-0.6795271402138716
114,Effective Inhibition,0.5252351162053868
115,Effective Inhibition,0.07995288599689471
116,Effective Inhibition,-5.805490075074643
117,Effective Inhibition,-1.0403405921991
118,Effective Inhibition,0.0303912094678829
119,Effective Inhibition,1.5020014832135749
120,Effective Inhibition,2.2060587587663854
121,Effective Inhibition,2.099011747049805
122,Effective Inhibition,6.4235468248764285
123,Effective Inhibition,0.6336246587119165
124,Effective Inhibition,1.5854803709445582
125,Effective Inhibition,2.811639236603846
126,Effective Inhibition,1.1396801839948187
127,Effective Inhibition,0.8046395070577086
128,Effective Inhibition,0.31369870344368284
129,Effective Inhibition,1.7750834661154085
130,Effective Inhibition,-0.1427883804903004
131,Effective Inhibition,1.7969861926693667
132,Effective Inhibition,0.1798680949855216
133,Effective Inhibition,1.2082362857586846
134,Effective Inhibition,-0.6759626492890991
135,Effective Inhibition,-0.5013689848319705
136,Effective Inhibition,2.756140993608682
137,Effective Inhibition,0.1367688303086932
138,Effective Inhibition,2.982045414847948
139,Effective Inhibition,6.945332222846885
140,Effective Inhibition,0.7289983789976582
141,Effective Inhibition,-5.204370856834917
142,Effective Inhibition,0.378199168661231
143,Effective Inhibition,-0.22033425002214024
144,Effective Inhibition,1.166253423651522
145,Effective Inhibition,-2.7091196617719797
146,Effective Inhibition,-4.817664732938933
147,Effective Inhibition,0.40817238862379934
148,Effective Inhibition,0.5773111412807971
149,Effective Inhibition,-0.3107619042552016
150,Effective Inhibition,-0.33586893067116286
151,Effective Inhibition,-2.4178298235965965
