,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition,SAT
0,2.5545841047066333,5.190717125208622,0.17976780455991326,8.04450723949757,Speed
1,2.315736808047913,4.942106730686798,0.1003622586806559,6.672689134689323,Speed
2,3.4319109411174664,3.5051614453682842,0.15403477374714297,7.79570032232882,Speed
3,0.8166276481114818,1.5953715988188546,0.17959822830272226,7.351120798038579,Speed
4,2.241955395569605,0.990931287846224,0.20982615414202505,6.452484359336881,Speed
5,1.369332815714855,2.005662334302341,0.15979807510853733,6.922401745346005,Speed
6,1.6454525913471452,1.1741917144115366,0.21366452994281832,5.970607374001229,Speed
7,1.6610493149053118,0.9235506073830937,0.1922337712879385,2.652718806326939,Speed
8,1.569172631634742,1.3229384968062265,0.1855755728753724,5.94544340910776,Speed
9,0.6365596612439212,0.5117815546850633,0.20383785420250433,4.798694192663718,Speed
10,1.287751906193275,1.2725229695472557,0.18007155949156217,6.157556221281641,Speed
11,0.5186580497379546,3.050757401806821,0.1004081409903303,7.750104550905795,Speed
12,1.17695945220835,1.2211622967961882,0.1614788536428431,5.121599502799054,Speed
13,1.8642397144130785,1.8043751933728767,0.2661569221309732,6.631612248445613,Speed
14,1.5873820125269573,1.5044005214912866,0.15443141586475945,4.1517303765625435,Speed
15,2.334763645261579,1.0052717762829086,0.2725457298614307,4.357307279809698,Speed
16,3.061091637855405,0.6937711531660105,0.2869001679704282,4.643694419210896,Speed
17,0.828204042075526,1.47050725952451,0.3133122458321383,8.170998072711562,Speed
18,2.684060505830365,0.8765458976764267,0.2369608472176698,3.7920270099207394,Speed
19,1.8057134503822097,1.2339212699492288,0.21252699632600558,4.466537465175149,Speed
20,1.6445250624252792,1.1801881162890613,0.3000155773227179,3.168148279505436,Accuracy
21,1.1925653974391515,1.2206024225029513,0.3444260054552496,3.0688524320491926,Accuracy
22,1.5821170772884212,1.40816009740902,0.2132284304614106,3.271003071610803,Accuracy
23,0.605832739510032,0.9469695818466235,0.2851554538030862,3.0821016515702278,Accuracy
24,2.173193563194635,1.292083579047532,0.25917266646288023,2.2546848795754304,Accuracy
25,0.9553875826806308,0.951061935004307,0.3095842245177752,3.406148046084536,Accuracy
26,1.548320686412871,1.239727104434012,0.22020405225013368,4.277042696733183,Accuracy
27,1.3788344648485762,2.1420424368786395,0.1555099098673064,1.9837441096545367,Accuracy
28,1.4202699063863613,1.7053588543939497,0.2083078146425275,2.6651254131157285,Accuracy
29,1.1677681512989102,1.6842304418522809,0.11251006712013112,1.8337439247694722,Accuracy
30,1.0662969629219288,1.1372513378938942,0.20000489818454825,4.07345200117645,Accuracy
31,1.197539744259128,1.611531709543765,0.36317519690239664,1.8065305979639799,Accuracy
32,1.252752338478626,1.0216211705666565,0.289810267229839,3.207190391639031,Accuracy
33,1.3682727416708456,1.1344689368017464,0.48304779271901477,2.3178966331975963,Accuracy
34,1.5448168040814638,2.2915794839145085,0.19335122241758523,5.2678518259781795,Accuracy
35,2.0509633466259785,2.0095115117961586,0.2665745534095825,5.230623074460836,Accuracy
36,1.7565836175006349,0.6174301435219229,0.3511650632703861,-0.5784639200098132,Accuracy
37,0.5791984977309949,1.461992384827032,0.32699021773875,2.0664108916802024,Accuracy
38,1.6477018082766033,1.6942244201442804,0.29336904777248574,4.065091213093997,Accuracy
39,1.2977663748112782,0.6520243627822326,0.352619267818597,-2.894623954827487,Accuracy
